currency,year,lcu_per_usd
ARS,2016,14.7581750873396
ARS,2017,16.5627069251411
ARS,2018,28.0949916666667
ARS,2019,48.1478916666667
ARS,2020,70.5391666666667
ARS,2021,94.9907416666667
ARS,2022,130.61655
ARS,2023,296.258041666667
ARS,2024,914.694883333333
ARS,2025,1240.85125
BRL,2016,3.49131342157271
BRL,2017,3.19138944630048
BRL,2018,3.65382536145755
BRL,2019,3.9444710972507
BRL,2020,5.15517878751281
BRL,2021,5.39440078962503
BRL,2022,5.16397029102111
BRL,2023,4.99437976287199
BRL,2024,5.3889349057096
BRL,2025,5.58728623856661
CLP,2016,676.957736044657
CLP,2017,648.833792598261
CLP,2018,641.276813066395
CLP,2019,702.897422561529
CLP,2020,792.727206103169
CLP,2021,758.955378658977
CLP,2022,873.314189543014
CLP,2023,840.066526651499
CLP,2024,943.572167421488
CLP,2025,951.329454191033
COP,2016,3055.255
COP,2017,2951.48691120161
COP,2018,2955.70396997842
COP,2019,3281.62219381788
COP,2020,3693.27583333333
COP,2021,3744.24416666667
COP,2022,4256.19416666667
COP,2023,4325.955
COP,2024,4074.43416666667
COP,2025,4053.13583333333
MXN,2016,18.6640583333333
MXN,2017,18.9265166666667
MXN,2018,19.2443416666667
MXN,2019,19.2636333333333
MXN,2020,21.4856083333333
MXN,2021,20.2724083333333
MXN,2022,20.12735
MXN,2023,17.7587166666667
MXN,2024,18.3048583333333
MXN,2025,19.2375083333333
PAB,2016,1
PAB,2017,1
PAB,2018,1
PAB,2019,1
PAB,2020,1
PAB,2021,1
PAB,2022,1
PAB,2023,1
PAB,2024,1
PAB,2025,1
PEN,2016,3.37506158720665
PEN,2017,3.2604884908321
PEN,2018,3.28660269803296
PEN,2019,3.3372655465368
PEN,2020,3.4949411976912
PEN,2021,3.88055413137587
PEN,2022,3.83518137473542
PEN,2023,3.74382620959376
PEN,2024,3.7525
PEN,2025,3.5670638032991
USCPI,2016,110.06700893427
USCPI,2017,112.411557302308
USCPI,2018,115.157303224791
USCPI,2019,117.244195476228
USCPI,2020,118.690501577198
USCPI,2021,124.266413825838
USCPI,2022,134.21120616846
USCPI,2023,139.73579356326
USCPI,2024,143.857336014608
UYU,2016,30.1626
UYU,2017,28.6764
UYU,2018,30.7252583333333
UYU,2019,35.255375
UYU,2020,42.0132916666667
UYU,2021,43.554575
UYU,2022,41.1710833333333
UYU,2023,38.8239166666667
UYU,2024,40.2127875
UYU,2025,41.1909791666667
